#time	SIM_6/
564.00	137.60
564.60	142.70
565.20	145.70
565.80	153.90
566.40	156.50
567.00	155.60
567.60	150.10
568.20	154.10
568.80	154.30
569.40	156.60
570.00	150.60
570.60	153.50
571.20	148.60
571.80	154.90
572.40	152.00
573.00	158.00
573.60	154.80
574.20	162.10
574.80	161.00
575.40	160.00
576.00	156.40
576.60	157.10
577.20	157.70
577.80	155.10
578.40	156.90
579.00	158.90
579.60	163.30
580.20	152.90
580.80	157.00
581.40	155.10
582.00	154.10
582.60	153.70
583.20	158.90
583.80	160.70
584.40	164.80
585.00	162.30
585.60	157.90
586.20	157.20
586.80	158.70
587.40	172.80
588.00	167.80
588.60	163.60
589.20	173.70
589.80	171.50
590.40	170.80
591.00	170.30
591.60	175.80
592.20	168.60
592.80	177.80
593.40	171.30
594.00	179.70
594.60	178.80
595.20	186.40
595.80	183.60
596.40	181.40
597.00	183.50
597.60	188.90
598.20	190.10
598.80	181.60
599.40	178.80
600.00	176.60
600.60	179.00
601.20	176.70
601.80	179.60
602.40	174.20
603.00	176.60
603.60	181.30
604.20	176.70
604.80	181.40
605.40	188.30
606.00	184.50
606.60	175.20
607.20	174.00
607.80	174.90
608.40	179.10
609.00	189.90
609.60	185.00
610.20	186.80
610.80	192.00
611.40	193.00
612.00	197.80
612.60	180.80
613.20	188.20
613.80	187.30
614.40	185.50
615.00	188.30
615.60	184.30
616.20	182.10
616.80	185.70
617.40	188.70
618.00	191.60
618.60	191.10
619.20	191.00
619.80	182.80
620.40	185.50
621.00	187.20
621.60	180.80
622.20	179.70
622.80	181.30
623.40	176.60
624.00	177.20
624.60	177.60
625.20	178.70
625.80	177.30
626.40	179.20
627.00	173.70
627.60	169.60
628.20	167.00
628.80	172.70
629.40	170.90
630.00	172.10
630.60	179.50
631.20	182.90
631.80	172.20
632.40	179.20
633.00	177.20
633.60	178.70
634.20	174.90
634.80	171.50
635.40	170.20
636.00	165.70
636.60	166.70
637.20	168.40
637.80	162.60
638.40	172.40
639.00	174.20
639.60	183.60
640.20	180.80
640.80	186.10
641.40	179.40
642.00	181.10
642.60	175.30
643.20	174.90
643.80	181.60
644.40	189.00
645.00	189.20
645.60	189.10
646.20	181.00
646.80	184.20
647.40	178.70
648.00	185.70
648.60	185.90
649.20	180.30
649.80	185.70
650.40	184.70
651.00	183.40
651.60	193.80
652.20	185.10
652.80	183.70
653.40	187.60
654.00	176.80
654.60	175.60
655.20	172.20
655.80	182.20
656.40	176.00
657.00	174.10
657.60	175.50
658.20	175.90
658.80	175.00
659.40	176.10
660.00	170.20
660.60	172.10
661.20	171.70
661.80	172.50
662.40	174.90
663.00	173.90
663.60	178.50
664.20	188.60
664.80	184.00
665.40	181.50
666.00	188.10
666.60	179.80
667.20	185.50
667.80	186.00
668.40	175.10
669.00	184.70
669.60	180.50
670.20	181.10
670.80	180.50
671.40	177.00
672.00	177.30
672.60	174.80
673.20	185.00
673.80	181.60
674.40	183.80
675.00	177.90
675.60	185.60
676.20	180.50
676.80	184.00
677.40	182.90
678.00	178.20
678.60	176.50
679.20	173.50
679.80	174.10
680.40	171.30
681.00	173.80
681.60	175.30
682.20	172.80
682.80	168.20
683.40	160.00
684.00	163.20
684.60	172.80
685.20	174.90
685.80	181.70
686.40	177.90
687.00	176.70
687.60	177.70
688.20	177.10
688.80	185.10
689.40	179.70
690.00	174.90
690.60	181.30
691.20	176.30
691.80	177.60
692.40	174.30
693.00	175.90
693.60	165.00
694.20	172.30
694.80	163.20
695.40	172.10
696.00	160.50
696.60	162.40
697.20	164.20
697.80	159.20
698.40	155.50
699.00	160.30
699.60	160.50
700.20	160.80
700.80	164.20
701.40	154.60
702.00	154.70
702.60	157.10
703.20	157.90
703.80	159.20
704.40	164.20
705.00	163.10
705.60	167.10
706.20	171.40
706.80	174.30
707.40	177.60
708.00	180.20
708.60	180.00
709.20	172.70
709.80	172.60
710.40	170.00
711.00	177.10
711.60	174.60
712.20	171.70
712.80	173.40
713.40	177.40
714.00	178.90
714.60	174.70
715.20	169.50
715.80	167.00
716.40	163.10
717.00	170.90
717.60	172.60
718.20	169.00
718.80	168.60
719.40	171.00
720.00	185.80
720.60	181.70
721.20	178.70
721.80	183.80
722.40	179.70
723.00	179.30
723.60	179.60
724.20	183.30
724.80	183.80
725.40	180.20
726.00	188.40
726.60	181.90
727.20	175.20
727.80	181.70
728.40	173.50
729.00	183.30
729.60	180.30
730.20	187.70
730.80	192.70
731.40	184.50
732.00	175.40
732.60	173.00
733.20	168.10
733.80	167.10
734.40	168.60
735.00	178.90
735.60	186.70
736.20	186.10
736.80	191.90
737.40	187.10
738.00	186.50
738.60	190.40
739.20	192.30
739.80	198.40
740.40	186.80
741.00	189.10
741.60	188.80
742.20	195.10
742.80	197.40
743.40	201.00
744.00	191.10
744.60	184.90
745.20	180.00
745.80	192.90
746.40	191.60
747.00	180.20
747.60	182.40
748.20	186.00
748.80	180.20
749.40	183.00
750.00	176.80
750.60	179.40
751.20	185.40
751.80	179.40
752.40	176.50
753.00	169.80
753.60	176.50
754.20	175.30
754.80	185.10
755.40	187.70
756.00	186.70
756.60	184.20
757.20	183.20
757.80	182.20
758.40	186.20
759.00	186.00
759.60	184.00
760.20	175.70
760.80	176.30
761.40	183.20
762.00	181.20
762.60	184.50
763.20	184.00
763.80	184.10
764.40	192.80
765.00	187.70
765.60	184.40
766.20	188.60
766.80	199.80
767.40	195.90
768.00	194.10
768.60	205.30
769.20	203.70
769.80	190.30
770.40	195.30
771.00	193.70
771.60	190.30
772.20	191.70
772.80	196.30
773.40	196.80
774.00	192.10
774.60	190.30
775.20	189.10
775.80	197.00
776.40	197.50
777.00	192.80
777.60	187.50
778.20	190.30
778.80	185.90
779.40	184.00
780.00	173.20
780.60	178.60
781.20	181.60
781.80	187.00
782.40	183.70
783.00	181.40
783.60	181.80
784.20	182.60
784.80	183.60
785.40	181.80
786.00	182.90
786.60	185.70
787.20	187.40
787.80	187.50
788.40	182.90
789.00	175.20
789.60	180.50
790.20	176.00
790.80	176.60
791.40	171.50
792.00	173.20
792.60	169.60
