#time	SIM_10/	SIM_15/	SIM_20/	SIM_5/
154.20	79.90	136.40	123.70	49.80
154.80	70.80	139.00	131.50	55.70
155.40	56.20	135.40	141.20	55.10
156.00	71.10	135.30	141.90	43.60
156.60	67.90	130.00	143.90	57.10
157.20	68.90	126.80	137.70	58.60
157.80	72.90	133.60	140.70	61.40
158.40	68.00	125.70	135.40	55.40
159.00	69.00	133.30	132.80	61.30
159.60	70.80	146.50	143.40	46.80
160.20	67.70	138.20	135.70	47.30
160.80	67.60	130.50	130.70	45.30
161.40	67.30	138.30	117.90	43.40
162.00	71.20	131.40	126.60	26.90
162.60	60.40	132.00	124.00	32.10
163.20	60.00	132.70	132.40	42.70
163.80	76.40	123.60	130.80	48.20
164.40	73.20	120.60	135.20	47.80
165.00	76.10	130.50	130.90	45.20
165.60	75.90	123.40	131.60	47.30
166.20	70.40	128.20	137.20	47.50
166.80	63.20	122.60	129.70	52.50
167.40	68.20	143.90	128.10	62.40
168.00	74.20	134.70	129.80	63.10
168.60	81.40	131.40	118.90	67.70
169.20	79.00	139.80	125.80	68.90
169.80	76.80	139.00	121.30	66.30
170.40	79.10	132.20	126.60	58.40
171.00	72.40	142.50	131.00	57.20
171.60	60.50	144.80	130.00	50.60
172.20	60.10	134.50	129.20	58.10
172.80	63.70	137.90	123.20	50.20
173.40	54.60	139.80	129.50	45.40
174.00	61.10	136.30	135.00	43.40
174.60	64.50	133.90	137.20	47.20
175.20	61.50	135.10	139.50	45.50
175.80	56.70	136.90	133.00	39.70
176.40	63.40	138.00	128.30	43.60
177.00	60.20	136.50	137.20	32.70
177.60	62.50	145.30	131.00	23.60
178.20	57.30	147.60	146.30	27.60
178.80	58.40	138.20	141.30	29.40
179.40	62.90	150.50	139.40	23.90
180.00	45.40	151.30	135.10	23.30
180.60	60.80	155.30	130.00	27.30
181.20	60.40	144.00	138.70	29.20
181.80	53.80	145.10	144.80	34.10
182.40	56.60	142.70	142.40	35.70
183.00	53.80	142.80	135.00	37.60
183.60	45.50	133.40	138.00	30.00
184.20	59.20	134.60	127.60	27.10
184.80	51.90	142.20	129.80	29.00
185.40	62.40	130.30	135.40	23.10
186.00	58.40	144.80	135.90	35.80
186.60	45.50	146.40	133.80	24.20
187.20	62.10	146.80	133.90	34.50
187.80	66.60	144.00	130.50	36.00
188.40	59.60	141.40	128.30	30.00
189.00	51.70	141.50	133.50	35.90
189.60	53.60	141.90	136.20	34.00
190.20	60.50	147.60	133.80	35.20
190.80	57.30	129.50	131.60	37.00
191.40	49.60	139.50	128.50	42.20
192.00	39.80	134.70	131.70	41.90
192.60	59.40	140.50	128.80	47.00
193.20	42.20	140.60	129.90	41.00
193.80	44.20	136.70	120.90	43.50
194.40	44.90	127.40	125.80	42.20
195.00	36.80	139.80	124.60	52.30
195.60	42.90	139.20	134.00	47.00
196.20	51.10	139.50	130.90	54.00
196.80	51.00	125.20	125.00	48.10
197.40	60.80	123.50	128.50	46.80
198.00	68.00	144.90	128.20	43.80
198.60	76.40	146.50	124.80	46.80
199.20	67.70	151.10	132.30	45.60
199.80	67.60	150.60	123.00	40.90
200.40	62.90	143.90	126.70	40.90
201.00	53.60	144.00	134.10	42.20
201.60	57.20	136.20	133.60	27.50
202.20	65.80	137.70	130.70	37.90
202.80	66.70	137.10	131.60	40.30
203.40	60.40	124.90	130.60	52.90
204.00	62.50	134.60	132.00	55.10
204.60	61.20	143.70	128.20	50.20
205.20	67.10	143.50	133.30	44.00
205.80	68.90	139.80	131.80	38.30
206.40	57.90	130.90	136.10	18.60
207.00	65.50	140.40	141.70	33.80
207.60	68.10	133.50	138.50	37.50
208.20	74.00	143.10	124.00	46.20
208.80	61.40	138.20	136.70	45.90
209.40	65.00	139.40	132.00	27.40
210.00	66.70	140.80	135.20	35.50
210.60	69.20	140.20	132.30	28.10
211.20	68.70	136.60	132.70	20.00
211.80	66.70	137.60	133.80	27.80
212.40	71.50	140.70	131.90	18.00
213.00	73.30	136.30	127.30	10.90
213.60	77.70	138.10	125.10	23.10
214.20	90.30	136.40	125.50	31.40
214.80	79.20	136.00	132.10	33.60
215.40	81.10	134.70	137.80	19.20
216.00	92.30	139.70	139.60	29.10
216.60	93.10	141.80	130.70	34.90
217.20	91.00	135.60	141.30	29.30
217.80	98.40	122.00	138.80	25.90
218.40	91.90	122.40	139.90	33.40
