#time	SIM_5_5/
327.00	134.40
327.60	142.00
328.20	144.20
328.80	137.60
329.40	122.20
330.00	137.60
330.60	144.20
331.20	159.30
331.80	161.80
332.40	160.60
333.00	151.20
333.60	140.90
334.20	124.40
334.80	125.70
335.40	142.80
336.00	138.10
336.60	124.00
337.20	122.60
337.80	129.70
338.40	140.00
339.00	120.00
339.60	124.10
340.20	127.20
340.80	132.10
341.40	132.80
342.00	119.30
342.60	108.50
343.20	106.00
343.80	89.90
344.40	111.40
345.00	109.30
345.60	122.60
346.20	140.40
346.80	136.20
347.40	134.40
348.00	126.80
348.60	117.90
349.20	115.70
349.80	103.90
350.40	105.90
351.00	99.40
351.60	104.20
352.20	106.60
352.80	99.50
353.40	104.80
354.00	102.30
354.60	108.10
355.20	104.50
355.80	109.60
356.40	107.30
357.00	112.30
357.60	94.00
358.20	98.00
358.80	78.70
359.40	77.40
360.00	86.20
360.60	97.10
361.20	91.10
361.80	104.80
362.40	98.00
363.00	104.60
363.60	103.10
364.20	92.40
364.80	97.40
365.40	97.00
366.00	88.60
366.60	90.00
367.20	87.50
367.80	91.90
368.40	88.20
369.00	96.50
369.60	104.90
370.20	102.60
370.80	123.50
371.40	124.10
372.00	123.10
372.60	107.60
373.20	113.50
373.80	126.60
374.40	128.20
375.00	118.70
375.60	113.10
376.20	114.10
376.80	118.60
377.40	113.40
378.00	119.70
378.60	117.70
379.20	120.20
379.80	124.40
380.40	134.50
381.00	146.20
381.60	146.50
382.20	155.60
382.80	168.60
383.40	153.00
384.00	148.00
384.60	165.00
385.20	156.60
385.80	138.70
386.40	143.80
387.00	143.30
387.60	134.40
388.20	143.60
388.80	140.90
389.40	151.70
390.00	139.50
390.60	137.80
391.20	147.00
391.80	134.90
392.40	128.00
393.00	118.30
393.60	117.30
394.20	125.30
394.80	131.80
395.40	129.70
396.00	119.70
396.60	107.80
397.20	114.70
397.80	122.40
398.40	115.20
399.00	118.50
399.60	126.50
400.20	120.90
400.80	111.90
401.40	115.20
402.00	116.60
402.60	109.20
403.20	112.90
403.80	142.80
404.40	137.70
405.00	132.30
405.60	130.70
406.20	123.40
406.80	128.40
407.40	128.50
408.00	140.70
408.60	139.50
409.20	146.10
409.80	148.30
410.40	136.90
411.00	137.70
411.60	150.80
412.20	170.00
412.80	148.10
413.40	145.00
414.00	136.90
414.60	148.40
415.20	130.70
415.80	126.20
416.40	125.40
417.00	132.00
417.60	138.10
418.20	126.50
418.80	127.30
419.40	138.10
420.00	136.00
420.60	147.70
421.20	140.60
421.80	156.90
422.40	142.60
423.00	136.80
423.60	129.00
424.20	127.70
424.80	120.50
425.40	127.70
426.00	103.70
426.60	104.60
427.20	112.70
427.80	114.90
428.40	126.30
429.00	125.60
429.60	121.30
430.20	133.20
430.80	120.00
431.40	114.40
432.00	117.70
432.60	119.40
433.20	123.30
433.80	112.00
434.40	110.00
435.00	131.10
435.60	130.40
436.20	121.30
436.80	122.90
437.40	128.00
438.00	134.00
438.60	131.30
439.20	135.50
439.80	136.90
440.40	126.90
441.00	126.10
441.60	143.30
442.20	134.20
442.80	154.60
443.40	143.70
444.00	133.30
444.60	132.70
445.20	130.60
445.80	137.00
446.40	119.00
447.00	127.20
447.60	127.50
448.20	120.20
448.80	127.80
449.40	118.80
450.00	139.50
450.60	145.00
451.20	141.50
451.80	134.30
452.40	155.70
453.00	155.50
453.60	147.90
454.20	145.50
454.80	155.40
455.40	152.10
456.00	161.30
456.60	152.00
457.20	129.30
457.80	126.90
458.40	118.20
459.00	115.80
459.60	101.70
460.20	113.40
460.80	121.00
461.40	114.50
462.00	117.80
462.60	103.60
463.20	110.10
463.80	115.80
464.40	136.50
465.00	124.80
465.60	141.70
466.20	139.60
466.80	131.10
467.40	124.70
468.00	114.40
468.60	116.50
469.20	128.80
469.80	118.70
470.40	112.60
471.00	106.30
471.60	112.00
472.20	106.90
472.80	102.50
473.40	105.60
474.00	103.00
474.60	113.20
475.20	106.40
475.80	96.00
476.40	108.30
477.00	101.20
477.60	97.10
478.20	110.40
478.80	113.70
479.40	122.50
480.00	126.90
480.60	133.00
481.20	125.10
481.80	118.90
482.40	115.70
483.00	113.00
483.60	103.90
484.20	114.80
484.80	124.70
485.40	117.70
486.00	118.20
486.60	137.50
487.20	157.00
487.80	151.30
488.40	156.00
489.00	155.70
489.60	171.10
490.20	166.40
490.80	160.80
491.40	164.30
492.00	148.60
492.60	149.10
493.20	145.80
493.80	152.00
494.40	162.40
495.00	161.50
495.60	161.70
496.20	162.80
496.80	156.60
497.40	160.80
498.00	167.60
498.60	148.20
