#time	SIM_7.5_0/
573.00	117.50
573.60	106.70
574.20	106.90
574.80	98.70
575.40	109.40
576.00	110.90
576.60	104.20
577.20	111.40
577.80	119.10
578.40	115.50
579.00	116.00
579.60	112.10
580.20	126.70
580.80	136.80
581.40	145.10
582.00	134.70
582.60	142.50
583.20	154.70
583.80	140.60
584.40	130.10
585.00	122.80
585.60	128.60
586.20	140.60
586.80	138.00
587.40	131.40
588.00	147.90
588.60	149.70
589.20	137.20
589.80	135.50
590.40	129.10
591.00	145.20
591.60	151.70
592.20	147.90
592.80	142.30
593.40	138.40
594.00	139.80
594.60	133.40
595.20	145.90
595.80	135.90
596.40	129.10
597.00	116.10
597.60	111.20
598.20	107.20
598.80	110.10
599.40	115.40
600.00	119.80
600.60	134.10
601.20	133.80
601.80	129.20
602.40	124.90
603.00	119.10
603.60	116.00
604.20	113.50
604.80	119.90
605.40	117.20
606.00	115.90
606.60	123.60
607.20	113.50
607.80	127.80
608.40	130.80
609.00	135.90
609.60	131.80
610.20	127.70
610.80	110.60
611.40	105.80
612.00	101.00
612.60	109.20
613.20	117.70
613.80	121.90
614.40	124.40
615.00	119.90
615.60	104.50
616.20	100.60
616.80	91.80
617.40	93.40
618.00	95.60
618.60	96.30
619.20	109.20
619.80	102.70
620.40	95.00
621.00	85.20
621.60	94.30
622.20	85.60
622.80	85.30
623.40	84.90
624.00	91.40
624.60	117.40
625.20	125.70
625.80	115.50
626.40	117.30
627.00	110.50
627.60	118.00
628.20	111.30
628.80	114.30
629.40	109.50
630.00	110.90
630.60	103.40
631.20	107.20
631.80	109.10
632.40	104.40
633.00	112.70
633.60	96.60
634.20	88.50
634.80	99.00
635.40	101.50
636.00	111.50
636.60	107.90
637.20	116.30
637.80	114.30
638.40	110.40
639.00	115.50
639.60	98.90
640.20	116.70
640.80	111.90
641.40	113.60
642.00	114.00
642.60	101.10
643.20	118.30
643.80	101.00
644.40	99.20
645.00	91.10
645.60	85.90
646.20	92.90
646.80	86.50
647.40	84.10
648.00	82.20
648.60	83.50
649.20	92.40
649.80	85.50
650.40	79.30
651.00	82.30
651.60	95.70
652.20	91.70
652.80	76.10
653.40	83.00
654.00	90.60
654.60	104.60
655.20	100.10
655.80	99.10
656.40	100.20
657.00	101.00
657.60	104.50
658.20	101.10
658.80	103.20
659.40	101.80
660.00	109.30
660.60	108.20
661.20	112.80
661.80	108.60
662.40	105.20
663.00	77.80
663.60	83.90
664.20	83.30
664.80	89.30
665.40	91.10
666.00	94.90
666.60	100.50
667.20	100.60
667.80	94.70
668.40	98.70
669.00	109.90
669.60	111.20
670.20	110.00
670.80	105.10
671.40	107.70
672.00	118.00
672.60	121.90
673.20	124.10
673.80	112.60
674.40	111.50
675.00	110.50
675.60	104.90
676.20	101.00
676.80	96.40
677.40	100.10
678.00	98.00
678.60	102.50
679.20	108.70
679.80	109.80
680.40	102.40
681.00	112.60
681.60	92.30
682.20	94.50
682.80	107.70
683.40	95.50
684.00	88.30
684.60	90.40
685.20	84.80
685.80	87.80
686.40	88.60
687.00	89.80
687.60	80.10
688.20	71.80
688.80	68.70
689.40	80.70
690.00	84.70
690.60	83.70
691.20	80.80
691.80	70.10
692.40	53.00
693.00	67.50
693.60	70.90
694.20	66.80
694.80	66.30
695.40	69.70
696.00	84.80
696.60	83.30
697.20	83.50
697.80	63.40
698.40	63.70
699.00	72.20
699.60	86.20
700.20	81.70
700.80	90.80
701.40	115.00
702.00	122.50
702.60	115.10
703.20	114.20
703.80	111.60
704.40	112.20
705.00	113.10
705.60	112.00
706.20	119.50
706.80	112.60
707.40	115.10
708.00	116.20
708.60	128.80
709.20	132.70
709.80	121.70
710.40	114.60
711.00	107.70
711.60	105.40
712.20	109.40
712.80	114.50
713.40	116.80
714.00	125.80
714.60	122.00
715.20	117.50
715.80	118.70
716.40	108.00
717.00	106.60
717.60	114.50
718.20	118.80
718.80	118.50
719.40	116.20
720.00	119.00
720.60	110.10
721.20	115.40
721.80	115.50
722.40	122.50
723.00	107.60
723.60	112.10
724.20	113.70
724.80	104.10
725.40	105.90
726.00	107.30
726.60	124.40
727.20	108.00
727.80	124.40
728.40	106.70
729.00	111.10
729.60	108.10
730.20	108.90
730.80	123.60
731.40	118.10
732.00	121.20
732.60	139.20
733.20	127.60
733.80	134.30
734.40	133.90
735.00	128.50
735.60	115.40
736.20	126.50
736.80	114.40
737.40	123.90
738.00	131.20
738.60	130.20
739.20	138.20
739.80	147.60
740.40	142.20
741.00	136.70
741.60	124.30
742.20	118.20
742.80	119.80
743.40	107.10
744.00	93.20
744.60	85.10
745.20	97.40
745.80	93.30
746.40	97.60
747.00	105.50
747.60	97.40
748.20	114.30
748.80	95.50
749.40	100.70
750.00	89.00
750.60	92.60
751.20	98.60
751.80	103.90
752.40	109.00
753.00	109.30
753.60	106.00
754.20	107.40
