#time	SIM_10_20/
984.00	12.20
984.60	18.80
985.20	18.50
985.80	13.10
986.40	14.00
987.00	13.80
987.60	15.10
988.20	12.30
988.80	14.40
989.40	10.60
990.00	13.00
990.60	18.20
991.20	14.90
991.80	14.60
992.40	15.40
993.00	17.10
993.60	14.30
994.20	14.60
994.80	20.20
995.40	20.70
996.00	14.70
996.60	16.90
997.20	16.20
997.80	18.30
998.40	17.90
999.00	15.30
999.60	15.60
1000.20	14.90
1000.80	15.50
1001.40	19.00
1002.00	13.90
1002.60	6.00
1003.20	17.90
1003.80	13.90
1004.40	18.50
1005.00	8.20
1005.60	17.80
1006.20	13.00
1006.80	15.50
1007.40	16.60
1008.00	15.00
1008.60	21.30
1009.20	16.90
1009.80	12.40
1010.40	17.60
1011.00	18.70
1011.60	17.90
1012.20	14.70
1012.80	13.20
1013.40	17.80
1014.00	14.30
1014.60	21.10
1015.20	20.10
1015.80	10.20
1016.40	14.10
1017.00	14.60
1017.60	15.70
1018.20	14.50
1018.80	7.10
1019.40	16.70
1020.00	10.20
1020.60	18.00
1021.20	22.10
1021.80	20.60
1022.40	10.10
1023.00	13.00
1023.60	5.90
1024.20	15.80
1024.80	16.40
1025.40	13.70
1026.00	14.70
1026.60	15.60
1027.20	12.90
1027.80	19.50
1028.40	21.20
1029.00	10.20
1029.60	13.90
1030.20	11.40
1030.80	14.40
1031.40	16.80
1032.00	17.80
1032.60	17.00
1033.20	14.30
1033.80	16.20
1034.40	15.40
1035.00	16.10
1035.60	17.80
1036.20	21.60
1036.80	17.40
1037.40	17.50
1038.00	15.50
1038.60	15.30
1039.20	17.20
1039.80	14.40
1040.40	11.50
1041.00	16.50
1041.60	13.90
