#time	SIM_9/
316.80	247.00
317.40	239.70
318.00	242.10
318.60	238.90
319.20	242.70
319.80	242.70
320.40	247.50
321.00	241.40
321.60	240.50
322.20	235.30
322.80	242.90
323.40	229.60
324.00	240.70
324.60	235.80
325.20	240.30
325.80	231.60
326.40	244.80
327.00	224.90
327.60	236.80
328.20	235.10
328.80	233.20
329.40	237.70
330.00	241.10
330.60	237.30
331.20	229.20
331.80	235.80
332.40	235.40
333.00	232.50
333.60	239.90
334.20	240.80
334.80	229.90
335.40	234.30
336.00	238.70
336.60	236.10
337.20	231.50
337.80	241.50
338.40	238.00
339.00	237.20
339.60	239.80
340.20	240.90
340.80	247.20
341.40	239.70
342.00	236.40
342.60	241.90
343.20	244.20
343.80	245.90
344.40	243.60
345.00	232.10
345.60	246.50
346.20	243.40
346.80	249.40
347.40	245.80
348.00	243.80
348.60	248.50
349.20	247.80
349.80	256.80
350.40	244.90
351.00	238.50
351.60	237.60
352.20	234.20
352.80	237.50
353.40	239.30
354.00	218.10
354.60	237.10
355.20	231.20
355.80	231.40
356.40	228.10
357.00	239.00
357.60	240.40
358.20	237.20
358.80	231.20
359.40	240.60
360.00	238.20
360.60	242.80
361.20	248.00
361.80	242.30
362.40	242.60
363.00	243.10
363.60	238.10
364.20	236.70
364.80	236.40
365.40	247.30
366.00	239.40
366.60	234.60
367.20	231.40
367.80	234.80
368.40	243.00
369.00	250.80
369.60	244.40
370.20	240.00
370.80	245.30
371.40	248.50
372.00	243.50
372.60	242.40
373.20	237.80
373.80	239.70
374.40	236.00
375.00	247.80
375.60	249.40
376.20	246.20
376.80	246.60
377.40	245.90
378.00	234.10
378.60	240.90
379.20	232.70
379.80	243.50
380.40	250.20
381.00	239.20
381.60	239.70
382.20	230.50
382.80	243.00
383.40	234.70
384.00	236.70
384.60	237.30
385.20	246.60
385.80	246.80
386.40	235.80
387.00	237.10
387.60	237.60
388.20	234.50
388.80	243.40
389.40	231.90
390.00	246.10
390.60	238.60
391.20	240.70
391.80	229.60
392.40	235.60
393.00	235.30
393.60	235.20
394.20	241.80
394.80	231.10
395.40	237.00
396.00	233.70
396.60	220.60
397.20	237.80
397.80	233.40
398.40	214.10
399.00	225.90
399.60	228.60
